Date,Open Balances,Closed,New Cases
2022-01-01,1963.0,0.0,468.0
2022-01-02,2431.0,0.0,503.0
2022-01-03,2934.0,857.0,1212.0
2022-01-04,3146.0,727.0,1039.0
2022-01-05,3368.0,949.0,826.0
2022-01-06,3159.0,942.0,828.0
2022-01-07,2892.0,769.0,750.0
2022-01-08,2733.0,0.0,335.0
2022-01-09,3068.0,0.0,326.0
2022-01-10,3394.0,767.0,824.0
2022-01-11,3313.0,856.0,746.0
2022-01-12,3095.0,831.0,708.0
2022-01-13,2764.0,658.0,658.0
2022-01-14,2545.0,680.0,654.0
2022-01-15,2139.0,11.0,326.0
2022-01-16,2454.0,0.0,268.0
2022-01-17,2722.0,766.0,661.0
2022-01-18,2774.0,772.0,700.0
2022-01-19,2459.0,750.0,789.0
2022-01-20,2292.0,786.0,691.0
2022-01-21,2111.0,651.0,606.0
2022-01-22,1791.0,0.0,276.0
2022-01-23,2067.0,0.0,230.0
2022-01-24,2297.0,675.0,589.0
2022-01-25,2083.0,770.0,607.0
2022-01-26,1923.0,883.0,571.0
2022-01-27,1247.0,810.0,566.0
2022-01-28,976.0,530.0,462.0
2022-01-29,777.0,0.0,244.0
2022-01-30,1021.0,0.0,174.0
2022-01-31,1195.0,411.0,389.0
2022-02-01,1218.0,0.0,142.0
2022-02-02,1360.0,0.0,196.0
2022-02-03,1556.0,680.0,547.0
2022-02-04,1416.0,553.0,585.0
2022-02-05,1247.0,0.0,275.0
2022-02-06,1522.0,0.0,275.0
2022-02-07,1797.0,684.0,686.0
2022-02-08,1754.0,626.0,646.0
2022-02-09,1684.0,673.0,621.0
2022-02-10,1454.0,690.0,530.0
2022-02-11,1189.0,623.0,568.0
2022-02-12,956.0,0.0,273.0
2022-02-13,1229.0,0.0,225.0
2022-02-14,1454.0,521.0,525.0
2022-02-15,1445.0,593.0,548.0
2022-02-16,1189.0,642.0,608.0
2022-02-17,1037.0,608.0,681.0
2022-02-18,1037.0,477.0,599.0
2022-02-19,1110.0,19.0,330.0
2022-02-20,1421.0,0.0,312.0
2022-02-21,1733.0,614.0,767.0
2022-02-22,1787.0,549.0,722.0
2022-02-23,1800.0,651.0,638.0
2022-02-24,1739.0,690.0,591.0
2022-02-25,1372.0,642.0,561.0
2022-02-26,1250.0,0.0,293.0
2022-02-27,1543.0,0.0,243.0
2022-02-28,1786.0,673.0,633.0
2022-03-01,1622.0,659.0,655.0
2022-03-02,1618.0,740.0,719.0
2022-03-03,1406.0,681.0,695.0
2022-03-04,1333.0,609.0,619.0
2022-03-05,1219.0,0.0,275.0
2022-03-06,1494.0,0.0,275.0
2022-03-07,1769.0,530.0,670.0
2022-03-08,1948.0,645.0,675.0
2022-03-09,1795.0,659.0,650.0
2022-03-10,1664.0,564.0,605.0
