Date,Open Balances,Closed,New Cases
2022-01-01,1963,0,468
2022-01-02,2431,0,503
2022-01-03,2934,857,1212
2022-01-04,3146,727,1039
2022-01-05,3368,949,826
2022-01-06,3159,942,828
2022-01-07,2892,769,750
2022-01-08,2733,0,335
2022-01-09,3068,0,326
2022-01-10,3394,767,824
2022-01-11,3313,856,746
2022-01-12,3095,831,708
2022-01-13,2764,658,658
2022-01-14,2545,680,654
2022-01-15,2139,11,326
2022-01-16,2454,0,268
2022-01-17,2722,766,661
2022-01-18,2774,772,700
2022-01-19,2459,750,789
2022-01-20,2292,786,691
2022-01-21,2111,651,606
2022-01-22,1791,0,276
2022-01-23,2067,0,230
2022-01-24,2297,675,589
2022-01-25,2083,770,607
2022-01-26,1923,883,571
2022-01-27,1247,810,566
2022-01-28,976,530,462
2022-01-29,777,0,244
2022-01-30,1021,0,174
2022-01-31,1195,411,389
2022-02-01,1218,0,142
2022-02-02,1360,0,196
2022-02-03,1556,680,547
2022-02-04,1416,553,585
2022-02-05,1247,0,275
2022-02-06,1522,0,275
2022-02-07,1797,684,686
2022-02-08,1754,626,646
2022-02-09,1684,673,621
2022-02-10,1454,690,530
2022-02-11,1189,623,568
2022-02-12,956,0,273
2022-02-13,1229,0,225
2022-02-14,1454,521,525
2022-02-15,1445,593,548
2022-02-16,1189,642,608
2022-02-17,1037,608,681
2022-02-18,1037,477,599
2022-02-19,1110,19,330
2022-02-20,1421,0,312
2022-02-21,1733,614,767
2022-02-22,1787,549,722
2022-02-23,1800,651,638
2022-02-24,1739,690,591
2022-02-25,1372,642,561
2022-02-26,1250,0,293
2022-02-27,1543,0,243
2022-02-28,1786,673,633
2022-03-01,1622,659,655
2022-03-02,1618,740,719
2022-03-03,1406,681,695
2022-03-04,1333,609,619
2022-03-05,1219,0,275
2022-03-06,1494,0,275
2022-03-07,1769,530,670
2022-03-08,1948,645,675
2022-03-09,1795,659,650
2022-03-10,1664,564,605
2022-03-11,1535,515,588
2022-03-12,1543,0,249
2022-03-13,1792,0,260
2022-03-14,2052,575,656
2022-03-15,1958,562,664
2022-03-16,1987,719,631
2022-03-17,1699,581,647
2022-03-18,1663,529,582
2022-03-19,1615,0,244
2022-03-20,1859,0,247
2022-03-21,2106,571,693
2022-03-22,2046,551,598
2022-03-23,1905,691,597
2022-03-24,1703,599,571
2022-03-25,1522,479,638
2022-03-26,1558,0,260
2022-03-27,1818,0,238
2022-03-28,2056,526,600
2022-03-29,1938,572,584
2022-03-30,1765,656,642
2022-03-31,1585,510,569
2022-04-01,1560,544,565
2022-04-02,1358,0,218
2022-04-03,1576,0,296
2022-04-04,1872,625,627
2022-04-05,1775,563,653
2022-04-06,1692,608,641
2022-04-07,1719,589,640
2022-04-08,1769,549,567
2022-04-09,1565,0,230
2022-04-10,1795,0,298
2022-04-11,2093,563,652
2022-04-12,2109,600,577
2022-04-13,1931,606,548
2022-04-14,1712,501,566
2022-04-15,1617,1,239
2022-04-16,1855,11,209
2022-04-17,2053,0,258
2022-04-18,2311,546,567
2022-04-19,2343,570,595
2022-04-20,2122,691,633
2022-04-21,1880,504,691
2022-04-22,1950,516,769
2022-04-23,2084,0,315
2022-04-24,2399,0,223
2022-04-25,2622,756,648
2022-04-26,3346,1113,657
2022-04-27,2725,1146,624
2022-04-28,2053,654,559
2022-04-29,1802,503,489
2022-04-30,1788,0,191
2022-05-01,1979,0,152
2022-05-02,2131,21,217
2022-05-03,2131,48,205
2022-05-04,2028,624,548
2022-05-05,2092,595,642
2022-05-06,1922,516,624
2022-05-07,1788,6,217
2022-05-08,1999,2,182
2022-05-09,2179,622,551
2022-05-10,2054,652,572
2022-05-11,1752,665,571
2022-05-12,1485,599,535
2022-05-13,1268,499,475
2022-05-14,1081,7,238
2022-05-15,1312,8,187
2022-05-16,1491,0,247
2022-05-17,1738,549,568
2022-05-18,1744,574,549
2022-05-19,1218,575,545
2022-05-20,1324,557,492
2022-05-21,1101,4,270
2022-05-22,1367,0,235
2022-05-23,1602,551,591
2022-05-24,1591,526,588
2022-05-25,1482,541,603
2022-05-26,1311,530,541
2022-05-27,1151,463,537
2022-05-28,1085,0,234
2022-05-29,1319,0,203
2022-05-30,1522,487,578
2022-05-31,1498,560,552
2022-06-01,1337,539,517
2022-06-02,1191,476,554
2022-06-03,1176,445,450
2022-06-04,1012,1,197
2022-06-05,1208,7,176
2022-06-06,1377,461,535
2022-06-07,1379,503,529
2022-06-08,1240,506,460
2022-06-09,1035,481,495
2022-06-10,894,350,419
2022-06-11,902,0,184
2022-06-12,1086,11,179
2022-06-13,1254,499,576
2022-06-14,1251,431,528
2022-06-15,1192,486,527
2022-06-16,1050,427,542
2022-06-17,1022,342,499
2022-06-18,1032,0,158
2022-06-19,1190,0,163
2022-06-20,1353,449,467
2022-06-21,1168,498,555
2022-06-22,1165,467,529
2022-06-23,1087,417,478
2022-06-24,1026,401,442
2022-06-25,688,0,226
2022-06-26,914,0,185
2022-06-27,1099,430,528
2022-06-28,1102,442,500
2022-06-29,954,487,534
2022-06-30,892,432,442
2022-07-01,968,361,429
2022-07-02,951,0,178
2022-07-03,1129,0,172
2022-07-04,1301,409,462
2022-07-05,1298,480,507
2022-07-06,1204,476,537
2022-07-07,1225,407,491
2022-07-08,1188,369,375
2022-07-09,1048,0,200
2022-07-10,1248,0,66
2022-07-11,1314,0,105
2022-07-12,1419,407,533
2022-07-13,1661,503,488
2022-07-14,1500,443,432
2022-07-15,1426,417,456
2022-07-16,1329,0,193
2022-07-17,1522,0,196
2022-07-18,1718,421,532
2022-07-19,1788,410,496
2022-07-20,1586,429,460
2022-07-21,1579,453,569
2022-07-22,1598,371,503
2022-07-23,1244,0,217
2022-07-24,1461,0,181
2022-07-25,1642,524,623
2022-07-26,1883,482,546
2022-07-27,1937,478,510
2022-07-28,1816,441,486
2022-07-29,1732,346,435
2022-07-30,1625,0,211
2022-07-31,1836,0,203
2022-08-01,2039,474,549
2022-08-02,2094,460,484
2022-08-03,1934,465,477
2022-08-04,1751,488,456
2022-08-05,1591,393,427
2022-08-06,1528,1,177
2022-08-07,1704,0,147
2022-08-08,1851,417,419
2022-08-09,1935,0,172
2022-08-10,1943,444,431
2022-08-11,1751,406,480
2022-08-12,1693,261,436
2022-08-13,1765,0,204
2022-08-14,1969,0,182
2022-08-15,2151,408,479
2022-08-16,2120,374,486
2022-08-17,2126,379,462
2022-08-18,2092,400,486
2022-08-19,2029,360,402
2022-08-20,1910,0,176
2022-08-21,2086,0,160
2022-08-22,2246,399,441
2022-08-23,2217,438,413
