Date,Open Balances,Closed,New Cases
1/1,3315,5,345
2/1,3655,14,588
3/1,4229,501,867
4/1,4348,526,819
5/1,4621,531,778
6/1,4762,527,686
7/1,4921,389,289
8/1,4821,301,258
9/1,4466,654,662
10/1,4422,854,655
11/1,3959,733,698
12/1,3803,671,661
13/1,3745,567,536
14/1,3714,333,289
15/1,3670,189,219
16/1,3202,495,588
17/1,3204,635,573
18/1,3120,588,539
19/1,2659,569,543
20/1,2775,330,587
21/1,2482,179,20
22/1,2641,94,0
23/1,2735,165,11
24/1,2889,211,5
25/1,3095,508,539
26/1,2962,571,558
27/1,2946,500,597
28/1,3038,4,243
29/1,3281,1,196
30/1,3477,644,682
31/1,3477,685,631
1/2,3054,573,727
2/2,3282,574,672
3/2,2857,573,523
4/2,2807,0,242
5/2,3049,0,209
6/2,3145,617,601
7/2,2948,592,599
8/2,2907,515,509
9/2,2746,589,838
10/2,2830,634,853
11/2,3049,0,308
12/2,3357,0,365
13/2,3394,588,719
14/2,3340,642,694
15/2,3565,681,726
16/2,3488,674,736
17/2,3391,663,620
18/2,3348,2,280
19/2,3626,7,275
20/2,3786,568,590
21/2,3624,593,655
22/2,3596,507,523
23/2,3505,552,509
24/2,3153,494,496
25/2,3155,18,219
26/2,3356,27,222
27/2,3291,502,552
28/2,2884,493,576
1/3,3130,419,508
2/3,3094,439,569
3/3,3140,571,471
4/3,3040,27,222
5/3,3235,8,238
6/3,3351,561,590
7/3,3228,562,672
8/3,3218,390,767
9/3,3484,711,810
10/3,3463,629,699
11/3,3533,12,270
12/3,3791,6,255
13/3,3834,611,610
14/3,3719,655,657
15/3,3425,664,574
16/3,3202,525,611
17/3,3205,628,520
18/3,3097,27,218
19/3,3288,1,225
20/3,3394,509,571
21/3,3420,574,599
22/3,3312,582,541
23/3,3168,480,497
24/3,3115,512,482
25/3,3288,16,189
26/3,3477,0,189
27/3,3260,531,539
28/3,3246,489,579
29/3,3220,504,513
30/3,3086,507,441
31/3,2703,381,439
1/4,2761,4,220
2/4,2977,2,204
3/4,2993,509,508
4/4,3140,580,506
5/4,2992,488,535
6/4,3117,448,522
7/4,3191,0,228
8/4,3419,0,170
9/4,3589,10,164
10/4,3692,648,560
11/4,3637,726,490
12/4,3191,563,534
13/4,3021,553,500
14/4,2870,578,480
15/4,2772,0,231
16/4,3003,2,208
17/4,3137,524,525
18/4,3039,564,515
19/4,2903,547,493
20/4,2711,570,479
21/4,2480,486,392
22/4,2386,9,165
23/4,2542,1,181
24/4,2603,467,456
25/4,2532,498,519
26/4,2479,454,511
27/4,2457,442,434
28/4,2341,460,433
29/4,2314,9,195
30/4,2500,1,127
1/5,2484,0,216
2/5,2700,495,516
3/5,2698,501,484
4/5,2464,415,441
5/5,2516,412,464
6/5,2568,9,216
7/5,2754,1,187
8/5,2831,513,517
9/5,2736,445,493
10/5,2688,492,500
11/5,2481,462,466
12/5,2332,525,445
13/5,2252,10,215
14/5,2457,1,184
15/5,2494,506,485
16/5,2345,487,443
17/5,2107,458,462
18/5,1923,451,428
19/5,1795,346,406
20/5,1855,0,210
21/5,2065,0,276
22/5,2280,447,501
23/5,2250,445,468
24/5,2105,410,491
25/5,2131,410,480
26/5,2007,450,435
27/5,1992,11,197
28/5,2189,6,205
29/5,2277,406,511
30/5,2230,491,466
31/5,2052,402,490
1/6,1995,359,415
2/6,2051,0,242
3/6,2293,0,195
4/6,2494,1,201
5/6,2615,418,487
6/6,2601,371,522
7/6,2713,403,525
8/6,2675,428,464
9/6,2577,568,397
10/6,2406,0,221
11/6,2627,0,201
12/6,2666,452,469
13/6,2511,416,456
14/6,2355,448,424
15/6,2180,437,469
16/6,2109,442,445
17/6,2112,2,205
18/6,2315,0,183
19/6,2376,352,484
20/6,2376,340,427
21/6,2266,433,385
22/6,2137,339,420
23/6,2083,441,383
24/6,2025,0,233
25/6,2258,0,171
26/6,2249,464,435
27/6,2165,392,387
28/6,2105,428,408
29/6,2085,0,253
30/6,2186,359,358
1/7,2185,0,188
2/7,2373,0,162
3/7,2391,427,477
4/7,2423,404,486
5/7,2423,338,471
6/7,2455,403,503
7/7,2481,425,507
8/7,2563,0,225
9/7,2788,0,230
10/7,2887,457,524
11/7,2852,382,479
12/7,2766,447,428
13/7,2647,456,456
14/7,2555,501,413
15/7,2467,5,239
16/7,2701,11,219
17/7,2735,392,448
18/7,2571,470,434
19/7,2372,472,408
20/7,2196,405,408
21/7,2022,374,322
22/7,1970,0,195
23/7,2165,0,163
24/7,2269,350,378
25/7,2107,391,423
26/7,2017,386,446
27/7,1951,358,403
28/7,1855,378,443
29/7,1920,1,194
30/7,2113,2,184
31/7,2191,312,400
1/8,2158,370,433
2/8,2088,378,391
3/8,1964,386,374
4/8,1837,450,367
5/8,1754,1,184
6/8,1937,0,185
7/8,2028,378,394
8/8,1835,412,449
9/8,1872,2,264
10/8,2034,344,433
11/8,1996,296,356
12/8,2056,1,191
13/8,2246,0,214
14/8,2315,418,451
15/8,2182,451,405
16/8,2025,471,405
17/8,1869,389,458
18/8,1808,414,356
19/8,1750,3,193
20/8,1919,0,172
21/8,2051,450,494
22/8,2024,434,438
23/8,1912,367,418
24/8,1847,335,392
25/8,1834,383,345
26/8,1796,0,176
27/8,1972,0,189
28/8,1992,374,427
29/8,1887,379,397
30/8,1791,371,345
31/8,1647,372,297
1/9,1572,0,192
2/9,1714,2,144
3/9,1856,0,142
4/9,1868,332,408
5/9,1908,377,429
6/9,1768,397,442
7/9,1692,357,441
8/9,1723,334,353
9/9,1742,0,184
10/9,1926,0,169
11/9,1977,432,416
12/9,1775,359,397
13/9,1719,409,373
14/9,1579,471,396
15/9,1389,294,338
16/9,1306,0,211
17/9,1475,2,171
18/9,1733,438,476
19/9,1595,409,426
20/9,1540,306,428
21/9,1553,297,452
22/9,1577,323,345
23/9,1072,0,182
24/9,1228,2,158
25/9,1783,370,388
26/9,1718,390,417
27/9,1626,369,358
28/9,1507,401,397
29/9,1390,361,355
30/9,1384,0,175
1/10,1559,0,158
2/10,1532,356,386
3/10,1413,314,399
4/10,1342,358,387
5/10,1219,306,354
6/10,1169,299,339
7/10,1209,0,170
8/10,1379,0,188
9/10,1458,403,456
10/10,1477,344,335
11/10,1184,422,395
12/10,1327,355,390
13/10,1251,299,340
14/10,1292,0,163
15/10,1497,4,209
16/10,1616,413,394
17/10,1413,387,388
18/10,1350,301,361
19/10,1304,366,435
20/10,1300,254,362
21/10,1408,0,155
22/10,1563,0,181
23/10,1742,399,381
24/10,1544,395,405
25/10,1332,377,384
26/10,1361,302,390
27/10,1325,364,332
28/10,1293,0,197
29/10,1491,0,148
30/10,1638,385,378
31/10,1454,378,349
1/11,1280,401,380
2/11,1169,311,388
3/11,1154,286,340
4/11,1208,0,156
5/11,1363,1,138
6/11,1400,368,498
7/11,1386,369,468
8/11,1370,327,390
9/11,1307,372,332
10/11,1118,310,314
11/11,1122,0,148
12/11,1270,0,161
13/11,1431,0,235
14/11,1617,408,409
15/11,1525,422,524
16/11,1650,356,400
17/11,1677,348,443
18/11,1772,0,213
19/11,1985,0,188
20/11,2150,523,505
21/11,2033,617,500
22/11,1912,543,477
23/11,1761,460,432
24/11,1642,439,473
25/11,1676,0,184
26/11,1860,4,173
27/11,1957,460,416
28/11,1835,458,466
29/11,1747,427,442
30/11,1665,462,484
1/12,1539,378,417
2/12,1577,0,265
3/12,1842,3,199
4/12,2001,522,514
