Date;Open Balance;Closed Cases;New Cases;Avg Per CSE;Avg Per CSA;Avg Per TL;Temp;CfS;Sups
1 Jan (Mon);2173;3;406;3;0;0;0;;
2 Jan (Tue);2524;488;733;31;21;12;26;;
3 Jan (Wed);2619;529;665;34;24;11;25;;
4 Jan (Thu);2599;575;710;30;23;19;25;;
5 Jan (Fri);2602;441;507;29;25;18;13;;
6 Jan (Sat);2668;63;294;0;0;0;0;0;63
7 Jan (Sun);2899;4;305;4;0;0;0;0;0
8 Jan (Mon);3048;747;566;29;21;28;36;19;30
9 Jan (Tue);2700;676;536;31;21;22;29;17;21
10 Jan (Wed);2475;565;508;30;22;19;21;17;26
11 Jan (Thu);2299;659;471;30;26;22;29;21;20
12 Jan (Fri);2050;510;508;25;22;15;25;17;3
13 Jan (Sat);2048;0;260;0;0;0;0;0;0
14 Jan (Sun);2308;4;222;4;0;0;0;0;0
15 Jan (Mon);2470;530;541;30;22;28;35;21;14
16 Jan (Tue);2286;569;594;31;22;28;26;24;6
17 Jan (Wed);2158;554;556;30;24;22;24;20;6
18 Jan (Thu);1980;589;504;28;23;25;21;15;3
19 Jan (Fri);1797;440;445;27;22;12;19;9;1
20 Jan (Sat);1802;0;224;0;0;0;0;0;0
21 Jan (Sun);2026;5;223;4;0;0;0;0;0
22 Jan (Mon);2153;566;565;27;20;23;13;12;1
23 Jan (Tue);2002;491;475;28;23;19;8;17;0
24 Jan (Wed);1790;448;502;27;22;21;11;15;1
25 Jan (Thu);1771;473;471;29;22;19;22;22;0
26 Jan (Fri);1666;365;412;26;20;18;10;19;0
27 Jan (Sat);1713;0;260;0;0;0;0;0;0
28 Jan (Sun);1973;6;214;6;0;0;0;0;0
29 Jan (Mon);2106;434;490;29;23;13;14;13;3
30 Jan (Tue);1966;456;474;26;20;13;7;21;0
31 Jan (Wed);1899;479;468;24;22;6;8;21;4
1 Feb (Thu);1752;508;418;29;21;13;18;12;3
2 Feb (Fri);1550;389;406;27;25;11;7;11;5
3 Feb (Sat);1567;2;181;2;0;0;0;0;0
4 Feb (Sun);1746;13;208;13;0;0;0;0;11
5 Feb (Mon);1809;435;522;28;20;12;16;14;2
6 Feb (Tue);1807;420;459;23;24;6;12;14;6
7 Feb (Wed);1676;391;392;29;22;6;12;16;5
8 Feb (Thu);1521;442;373;27;21;15;12;17;3
9 Feb (Fri);1284;292;215;14;14;12;9;12;1
10 Feb (Sat);1207;0;92;0;0;0;0;0;0
11 Feb (Sun);1299;0;118;0;0;0;0;0;0
12 Feb (Mon);1417;2;195;2;0;0;0;0;0
13 Feb (Tue);1604;483;352;23;26;8;14;13;0
14 Feb (Wed);1334;439;431;27;20;14;13;12;0
15 Feb (Thu);1329;330;451;24;20;8;8;14;0
16 Feb (Fri);1379;339;460;23;19;12;8;4;0
17 Feb (Sat);1500;0;311;0;0;0;0;0;0
18 Feb (Sun);1811;0;272;0;0;0;0;0;0
19 Feb (Mon);2023;413;727;29;22;10;10;5;0
20 Feb (Tue);2199;462;614;26;29;4;8;20;
21 Feb (Wed);2184;412;597;25;27;6;11;18;4
22 Feb (Thu);2242;653;571;29;21;11;30;7;2
23 Feb (Fri);2106;388;430;29;26;10;10;38;1
24 Feb (Sat);2148;0;257;0;0;0;0;0;0
25 Feb (Sun);2405;0;295;0;0;0;0;0;0
26 Feb (Mon);2622;542;674;26;24;19;16;12;3
27 Feb (Tue);2638;544;611;31;27;14;16;12;0
28 Feb (Wed);2597;555;544;35;24;17;16;13;0
29 Feb (Thu);2404;493;514;30;22;19;15;15;2
1 Mar (Fri);2418;515;491;32;27;22;15;16;3
2 Mar (Sat);2394;0;260;8;0;0;0;0;0
3 Mar (Sun);2654;8;242;0;0;0;0;0;0
4 Mar (Mon);2782;445;603;33;32;22;19;5;1
5 Mar (Tue);2848;590;642;37;30;22;20;13;1
6 Mar (Wed);2744;480;669;30;26;14;20;16;2
7 Mar (Thu);2844;472;567;33;26;13;25;16;1
8 Mar (Fri);2778;511;463;34;26;20;19;17;2
9 Mar (Sat);2730;20;245;20;0;0;0;0;0
10 Mar (Sun);2955;2;264;0;2;0;0;0;0
11 Mar (Mon);3020;480;535;36;29;22;17;18;3
12 Mar (Tue);2930;402;490;37;28;24;15;14;2
13 Mar (Wed);2821;592;457;36;25;24;19;12;1
14 Mar (Thu);2584;561;402;31;28;31;13;17;1
15 Mar (Fri);2298;480;456;32;27;33;12;14;0
16 Mar (Sat);2486;6;234;6;0;0;0;0;0
17 Mar (Sun);2714;0;224;0;0;0;0;0;0
18 Mar (Mon);2950;523;482;34;22;28;20;15;0
19 Mar (Tue);2786;465;490;34;22;27;16;15;1
20 Mar (Wed);2737;410;390;30;24;23;10;16;0
21 Mar (Thu);2521;429;428;30;18;20;16;16;0
22 Mar (Fri);2499;432;406;34;29;24;9;14;0
23 Mar (Sat);2473;11;211;0;0;6;0;0;0
24 Mar (Sun);2673;0;214;0;0;0;0;0;0
25 Mar (Mon);2737;466;445;36;23;21;14;6;0
