Date,Open Balances,Closed,New Cases
2024-01-01,2173,3,406
2024-01-02,2524,488,733
2024-01-03,2619,529,665
2024-01-04,2599,575,710
2024-01-05,2602,441,507
2024-01-06,2668,63,294
2024-01-07,2899,4,305
2024-01-08,3048,747,566
2024-01-09,2700,676,536
2024-01-10,2475,565,508
2024-01-11,2299,659,471
2024-01-12,2050,510,508
2024-01-13,2048,0,260
2024-01-14,2308,4,222
2024-01-15,2470,530,541
2024-01-16,2286,569,594
2024-01-17,2158,554,556
2024-01-18,1980,589,504
2024-01-19,1797,440,445
2024-01-20,1802,0,224
2024-01-21,2026,5,223
2024-01-22,2153,566,565
2024-01-23,2002,491,475
2024-01-24,1790,448,502
2024-01-25,1771,473,471
2024-01-26,1666,365,412
2024-01-27,1713,0,260
2024-01-28,1973,6,214
2024-01-29,2106,434,490
2024-01-30,1966,456,474
2024-01-31,1899,479,468
2024-02-01,1752,508,418
2024-02-02,1550,389,406
2024-02-03,1567,2,181
2024-02-04,1746,13,208
2024-02-05,1809,435,522
2024-02-06,1807,420,459
2024-02-07,1676,391,392
2024-02-08,1521,442,373
2024-02-09,1284,292,215
2024-02-10,1207,0,92
2024-02-11,1299,0,118
2024-02-12,1417,2,195
2024-02-13,1604,483,352
2024-02-14,1334,439,431
2024-02-15,1329,330,451
2024-02-16,1379,339,460
2024-02-17,1500,0,311
2024-02-18,1811,0,272
2024-02-19,2023,413,727
2024-02-20,2199,462,614
2024-02-21,2184,412,597
2024-02-22,2242,653,571
2024-02-23,2106,388,430
2024-02-24,2148,0,257
2024-02-25,2405,0,295
2024-02-26,2622,542,674
2024-02-27,2638,544,611
2024-02-28,2597,555,544
2024-02-29,2404,493,514
2024-03-01,2418,515,491
2024-03-02,2394,0,260
2024-03-03,2654,8,242
2024-03-04,2782,445,603
2024-03-05,2848,590,642
2024-03-06,2744,480,669
2024-03-07,2844,472,567
2024-03-08,2778,511,463
2024-03-09,2730,20,245
2024-03-10,2955,2,264
2024-03-11,3020,480,535
2024-03-12,2930,402,490
2024-03-13,2821,592,457
2024-03-14,2584,561,402
2024-03-15,2298,480,456
2024-03-16,2486,6,234
2024-03-17,2714,0,224
2024-03-18,2950,523,482
2024-03-19,2786,465,490
2024-03-20,2737,410,390
2024-03-21,2521,429,428
2024-03-22,2499,432,406
2024-03-23,2473,11,211
2024-03-24,2673,0,214
2024-03-25,2737,466,445
