Date,Avg Case Closed Per CSE,Avg Case Closed Per CSA,Avg Case Closed Per TL,Avg Case Closed per Temp,Average Case Closed per CfS,Avg Case Closed per Sup,,,,,,,,,,,,,,,,,,
2-Oct (Sun),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
3-Oct (Mon),28,0,0,0,0,0,,,,,,,,,,,,,,,,,,
4-Oct (Tue),28,0,0,0,0,0,,,,,,,,,,,,,,,,,,
5-Oct (Wed),28,0,0,0,0,0,,,,,,,,,,,,,,,,,,
6-Oct (Thu),28,0,0,0,0,0,,,,,,,,,,,,,,,,,,
7-Oct (Fri),36,0,0,0,0,0,,,,,,,,,,,,,,,,,,
8-Oct (Sat),19,0,0,0,0,0,,,,,,,,,,,,,,,,,,
9-Oct (Sun),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
10-Oct (Mon),32,0,0,0,0,0,,,,,,,,,,,,,,,,,,
11-Oct (Tue),30,0,0,0,0,0,,,,,,,,,,,,,,,,,,
12-Oct (Wed),30,0,0,0,0,0,,,,,,,,,,,,,,,,,,
13-Oct (Thu),30,0,0,0,0,0,,,,,,,,,,,,,,,,,,..
14-Oct (Fri),32,0,0,0,0,0,,,,,,,,,,,,,,,,,,
15-Oct (Sat),22,0,0,0,0,0,,,,,,,,,,,,,,,,,,
16-Oct (Sun),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
17-Oct (Mon),29,0,0,0,0,0,,,,,,,,,,,,,,,,,,
18-Oct (Tue),32,0,0,0,0,0,,,,,,,,,,,,,,,,,,
19-Oct (Wed),29,0,0,0,0,0,,,,,,,,,,,,,,,,,,
20-Oct (Thu),28,0,0,0,0,0,,,,,,,,,,,,,,,,,,
21-Oct (Fri),27,0,0,0,0,0,,,,,,,,,,,,,,,,,,
22-Oct (Sat),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
23-Oct (Sun),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
24-Oct (Mon),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
25-Oct (Tue),28,0,0,0,0,0,,,,,,,,,,,,,,,,,,
26-Oct (Wed),27,0,0,0,0,0,,,,,,,,,,,,,,,,,,
27-Oct (Thu),32,0,0,0,0,0,,,,,,,,,,,,,,,,,,
28-Oct (Fri),28,0,0,0,0,0,,,,,,,,,,,,,,,,,,
29-Oct (Sat),3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
30-Oct (Sun),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
31-Oct (Mon),30,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1-Nov (Tue),32,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2-Nov (Wed),31,0,0,0,0,0,,,,,,,,,,,,,,,,,,
3-Nov (Thu),29,0,0,0,0,0,,,,,,,,,,,,,,,,,,
4-Nov (Fri),34,0,0,0,0,0,,,,,,,,,,,,,,,,,,
5-Nov (Sat),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
6-Nov (Sun),10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
7-Nov (Mon),30,0,0,0,0,0,,,,,,,,,,,,,,,,,,
8-Nov (Tue),32,0,0,0,0,0,,,,,,,,,,,,,,,,,,
9-Nov (Wed),35,0,13,0,0,0,,,,,,,,,,,,,,,,,,
10-Nov (Thu),33,0,0,0,0,0,,,,,,,,,,,,,,,,,,
11-Nov (Fri),32,0,0,0,0,0,,,,,,,,,,,,,,,,,,
12-Nov (Sat),1,0,8,0,0,0,,,,,,,,,,,,,,,,,,
13-Nov (Sun),6,0,5,0,0,0,,,,,,,,,,,,,,,,,,
14-Nov (Mon),32,0,10,0,0,0,,,,,,,,,,,,,,,,,,
15-Nov (Tue),32,0,10,0,0,0,,,,,,,,,,,,,,,,,,
16-Nov (Wed),32,0,5,0,0,0,,,,,,,,,,,,,,,,,,
17-Nov (Thu),31,0,0,0,0,0,,,,,,,,,,,,,,,,,,
18-Nov (Fri),39,0,0,0,0,0,,,,,,,,,,,,,,,,,,
19-Nov (Sat),17,0,17,0,0,0,,,,,,,,,,,,,,,,,,
20-Nov (Sun),42,0,16,0,0,0,,,,,,,,,,,,,,,,,,
21-Nov (Mon),31,0,16,0,0,0,,,,,,,,,,,,,,,,,,
22-Nov (Tue),37,0,9,0,0,0,,,,,,,,,,,,,,,,,,
23-Nov (Wed),34,0,21,0,0,0,,,,,,,,,,,,,,,,,,
24-Nov (Thu),30,0,0,0,0,0,,,,,,,,,,,,,,,,,,
25-Nov (Fri),35,0,0,0,0,0,,,,,,,,,,,,,,,,,,
26-Nov (Sat),22,0,12,0,0,0,,,,,,,,,,,,,,,,,,
27-Nov (Sun),0,0,7,0,0,0,,,,,,,,,,,,,,,,,,
28-Nov (Mon),31,0,12,0,0,0,,,,,,,,,,,,,,,,,,
29-Nov (Tue),27,0,19,0,0,0,,,,,,,,,,,,,,,,,,
30-Nov (Wed),30,0,22,0,0,0,,,,,,,,,,,,,,,,,,
1-Dec (Thu),27,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2-Dec (Fri),33,0,0,0,0,0,,,,,,,,,,,,,,,,,,
3-Dec (Sat),26,0,26,0,0,0,,,,,,,,,,,,,,,,,,
4-Dec (Sun),7,0,25,0,0,0,,,,,,,,,,,,,,,,,,
5-Dec (Mon),28,0,24,0,0,0,,,,,,,,,,,,,,,,,,
6-Dec (Tue),28,0,42,0,0,0,,,,,,,,,,,,,,,,,,
7-Dec (Wed),25,0,41,0,0,0,,,,,,,,,,,,,,,,,,
8-Dec (Thu),26,0,0,0,0,0,,,,,,,,,,,,,,,,,,
9-Dec (Fri),32,0,0,0,0,0,,,,,,,,,,,,,,,,,,
10-Dec (Sat),19,0,34,0,0,0,,,,,,,,,,,,,,,,,,
11-Dec (Sun),0,0,32,0,0,0,,,,,,,,,,,,,,,,,,
12-Dec (Mon),31,0,36,0,0,0,,,,,,,,,,,,,,,,,,
13-Dec (Tue),32,0,29,0,0,0,,,,,,,,,,,,,,,,,,
14-Dec (Wed),26,0,42,0,0,0,,,,,,,,,,,,,,,,,,
15-Dec (Thu),27,0,0,0,0,0,,,,,,,,,,,,,,,,,,
16-Dec (Fri),37,0,0,0,0,0,,,,,,,,,,,,,,,,,,
17-Dec (Sat),30,0,30,0,0,0,,,,,,,,,,,,,,,,,,
18-Dec (Sun),22,0,29,0,0,0,,,,,,,,,,,,,,,,,,
19-Dec (Mon),30,0,20,0,0,0,,,,,,,,,,,,,,,,,,
20-Dec (Tue),28,0,30,0,0,0,,,,,,,,,,,,,,,,,,
21-Dec (Wed),26,0,35,0,0,0,,,,,,,,,,,,,,,,,,
22-Dec (Thu),27,0,0,0,0,0,,,,,,,,,,,,,,,,,,
23-Dec (Fri),30,0,0,0,0,0,,,,,,,,,,,,,,,,,,
24-Dec (Sat),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
25-Dec (Sun),0,0,37,0,0,0,,,,,,,,,,,,,,,,,,
