Date,Avg Case Closed Per CSE,Avg Case Closed Per CSA,Avg Case Closed Per TL,Avg Case Closed per Temp,Average Case Closed per CfS,Avg Case Closed per Sup
2024-01-01,3.0,0.0,0.0,0.0,NaN,NaN
2024-01-02,31.0,21.0,12.0,26.0,NaN,NaN
2024-01-03,34.0,24.0,11.0,25.0,NaN,NaN
2024-01-04,30.0,23.0,19.0,25.0,NaN,NaN
2024-01-05,29.0,25.0,18.0,13.0,NaN,NaN
2024-01-06,0.0,0.0,0.0,0.0,0.0,63.0
2024-01-07,4.0,0.0,0.0,0.0,0.0,0.0
2024-01-08,29.0,21.0,28.0,36.0,19.0,30.0
2024-01-09,31.0,21.0,22.0,29.0,17.0,21.0
2024-01-10,30.0,22.0,19.0,21.0,17.0,26.0
2024-01-11,30.0,26.0,22.0,29.0,21.0,20.0
2024-01-12,25.0,22.0,15.0,25.0,17.0,3.0
2024-01-13,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,4.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,30.0,22.0,28.0,35.0,21.0,14.0
2024-01-16,31.0,22.0,28.0,26.0,24.0,6.0
2024-01-17,30.0,24.0,22.0,24.0,20.0,6.0
2024-01-18,28.0,23.0,25.0,21.0,15.0,3.0
2024-01-19,27.0,22.0,12.0,19.0,9.0,1.0
2024-01-20,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-21,4.0,0.0,0.0,0.0,0.0,0.0
2024-01-22,27.0,20.0,23.0,13.0,12.0,1.0
2024-01-23,28.0,23.0,19.0,8.0,17.0,0.0
2024-01-24,27.0,22.0,21.0,11.0,15.0,1.0
2024-01-25,29.0,22.0,19.0,22.0,22.0,0.0
2024-01-26,26.0,20.0,18.0,10.0,19.0,0.0
2024-01-27,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-28,6.0,0.0,0.0,0.0,0.0,0.0
2024-01-29,29.0,23.0,13.0,14.0,13.0,3.0
2024-01-30,26.0,20.0,13.0,7.0,21.0,0.0
2024-01-31,24.0,22.0,6.0,8.0,21.0,4.0
2024-02-01,29.0,21.0,13.0,18.0,12.0,3.0
2024-02-02,27.0,25.0,11.0,7.0,11.0,5.0
2024-02-03,2.0,0.0,0.0,0.0,0.0,0.0
2024-02-04,13.0,0.0,0.0,0.0,0.0,11.0
2024-02-05,28.0,20.0,12.0,16.0,14.0,2.0
2024-02-06,23.0,24.0,6.0,12.0,14.0,6.0
2024-02-07,29.0,22.0,6.0,12.0,16.0,5.0
2024-02-08,27.0,21.0,15.0,12.0,17.0,3.0
2024-02-09,14.0,14.0,12.0,9.0,12.0,1.0
2024-02-10,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-11,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-12,2.0,0.0,0.0,0.0,0.0,0.0
2024-02-13,23.0,26.0,8.0,14.0,13.0,0.0
2024-02-14,27.0,20.0,14.0,13.0,12.0,0.0
2024-02-15,24.0,20.0,8.0,8.0,14.0,0.0
2024-02-16,23.0,19.0,12.0,8.0,4.0,0.0
2024-02-17,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-18,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-19,29.0,22.0,10.0,10.0,5.0,0.0
2024-02-20,26.0,29.0,4.0,8.0,20.0,NaN
2024-02-21,25.0,27.0,6.0,11.0,18.0,4.0
2024-02-22,29.0,21.0,11.0,30.0,7.0,2.0
2024-02-23,29.0,26.0,10.0,10.0,38.0,1.0
2024-02-24,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-25,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26,26.0,24.0,19.0,16.0,12.0,3.0
2024-02-27,31.0,27.0,14.0,16.0,12.0,0.0
2024-02-28,35.0,24.0,17.0,16.0,13.0,0.0
2024-02-29,30.0,22.0,19.0,15.0,15.0,2.0
2024-03-01,32.0,27.0,22.0,15.0,16.0,3.0
2024-03-02,8.0,0.0,0.0,0.0,0.0,0.0
2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,33.0,32.0,22.0,19.0,5.0,1.0
2024-03-05,37.0,30.0,22.0,20.0,13.0,1.0
2024-03-06,30.0,26.0,14.0,20.0,16.0,2.0
2024-03-07,33.0,26.0,13.0,25.0,16.0,1.0
2024-03-08,34.0,26.0,20.0,19.0,17.0,2.0
2024-03-09,20.0,0.0,0.0,0.0,0.0,0.0
2024-03-10,0.0,2.0,0.0,0.0,0.0,0.0
2024-03-11,36.0,29.0,22.0,17.0,18.0,3.0
2024-03-12,37.0,28.0,24.0,15.0,14.0,2.0
2024-03-13,36.0,25.0,24.0,19.0,12.0,1.0
2024-03-14,31.0,28.0,31.0,13.0,17.0,1.0
2024-03-15,32.0,27.0,33.0,12.0,14.0,0.0
2024-03-16,6.0,0.0,0.0,0.0,0.0,0.0
2024-03-17,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,34.0,22.0,28.0,20.0,15.0,0.0
2024-03-19,34.0,22.0,27.0,16.0,15.0,1.0
2024-03-20,30.0,24.0,23.0,10.0,16.0,0.0
2024-03-21,30.0,18.0,20.0,16.0,16.0,0.0
2024-03-22,34.0,29.0,24.0,9.0,14.0,0.0
2024-03-23,0.0,0.0,6.0,0.0,0.0,0.0
2024-03-24,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,36.0,23.0,21.0,14.0,6.0,0.0
